per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.150 75500000.5 74 24 1 9 11 11 2 2 3 0 0 2 0 0 0 0 0 0 0 1 1 0
temp_spectre.151 76000000.5 44 17 5 6 4 3 0 1 1 0 1 2 0 0 0 0 0 0 0 0 0 0
temp_spectre.152 76500000.5 28 13 5 0 1 2 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.153 77000000.5 65 25 10 7 4 8 2 1 0 2 3 0 1 0 0 0 0 0 0 0 0 0
temp_spectre.154 77500000.5 73 25 11 9 6 8 2 1 1 1 0 0 1 0 0 0 0 0 2 2 0 0
temp_spectre.155 78000000.5 34 11 3 2 3 3 2 0 1 1 0 0 1 0 0 0 0 0 3 2 0 0
temp_spectre.156 78500000.5 32 10 3 0 1 3 6 1 0 0 0 0 2 1 0 0 0 0 1 3 0 0
temp_spectre.157 79000000.5 16 3 1 0 0 1 4 1 0 0 0 0 1 1 0 0 0 0 0 3 0 0
temp_spectre.158 80000000.5 8 5 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
temp_spectre.159 80500000.5 23 13 1 0 0 0 1 0 0 0 0 1 1 2 0 0 1 2 1 0 0 0
temp_spectre.160 81000000.5 33 19 3 0 0 0 0 0 0 0 0 0 1 2 0 0 2 4 1 0 0 0
temp_spectre.161 81500000.5 35 19 4 0 0 1 0 0 4 1 0 0 0 0 0 0 2 2 0 0 0 0
temp_spectre.162 82000000.5 30 15 3 2 1 1 0 0 4 1 0 0 1 0 0 0 1 0 0 0 0 0
temp_spectre.163 82500000.5 39 12 3 2 1 3 1 1 1 0 0 1 1 0 0 0 0 2 0 1 0 9
temp_spectre.164 83000000.5 203 45 16 7 13 17 11 9 17 9 0 4 2 9 2 3 2 5 8 3 1 16
temp_spectre.165 83500000.5 198 45 15 7 19 16 11 8 16 9 1 4 3 9 4 3 3 3 8 2 1 7
temp_spectre.166 84000000.5 33 8 0 0 6 5 1 0 0 0 1 2 1 0 2 0 1 0 2 3 0 0
temp_spectre.167 84500000.5 25 3 0 1 1 4 0 0 0 1 0 2 0 0 2 0 0 0 2 8 1 0
temp_spectre.168 85000000.5 20 0 0 2 1 1 0 0 0 1 0 1 0 3 2 0 0 0 0 8 1 0
temp_spectre.169 85500000.5 14 1 2 2 0 0 0 0 0 0 0 1 0 3 0 0 0 0 1 4 0 0
temp_spectre.170 86000000.5 10 1 2 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0
