per_plot V2 V3 V4 V5 V6 V7
temp_spectre.195 98500000.5 11 2 0 0 1 0
temp_spectre.196 99000000.5 27 5 0 0 0 0
temp_spectre.197 99500000.5 49 12 1 0 5 1
temp_spectre.198 100000000.5 38 10 1 1 5 1
temp_spectre.199 100500000.5 29 2 0 4 0 0
temp_spectre.200 101000000.5 44 5 2 11 3 4
temp_spectre.201 101500000.5 39 6 2 9 3 4
temp_spectre.202 102000000.5 36 2 0 1 0 6
temp_spectre.203 102500000.5 44 9 2 1 0 6
temp_spectre.204 103000000.5 25 9 3 1 0 0
temp_spectre.205 103500000.5 12 3 1 0 0 0
temp_spectre.206 104000000.5 29 12 0 1 1 0
temp_spectre.207 104500000.5 46 20 0 4 3 0
temp_spectre.208 105000000.5 46 11 0 5 9 1
temp_spectre.209 105500000.5 43 3 2 3 9 1
temp_spectre.210 106000000.5 55 9 2 3 4 1
temp_spectre.211 106500000.5 78 16 5 6 3 4
temp_spectre.212 107000000.5 72 12 6 8 6 5
temp_spectre.213 107500000.5 123 53 2 6 5 4
temp_spectre.214 108000000.5 149 52 8 4 3 11
temp_spectre.215 108500000.5 104 7 14 10 10 13
temp_spectre.216 109000000.5 73 6 8 21 9 4
temp_spectre.217 109500000.5 96 4 7 17 2 8
temp_spectre.218 110000000.5 120 6 9 10 8 8
temp_spectre.219 110500000.5 74 6 5 8 12 0
temp_spectre.220 111000000.5 64 3 12 9 7 0
temp_spectre.221 111500000.5 79 10 10 7 4 1
temp_spectre.222 112000000.5 81 20 11 6 1 1
temp_spectre.223 112500000.5 67 19 14 6 0 0
temp_spectre.224 113000000.5 53 13 9 0 3 0
temp_spectre.225 113500000.5 61 13 9 1 4 0
temp_spectre.226 114000000.5 92 21 5 3 5 11
temp_spectre.227 114500000.5 90 16 6 2 4 11
temp_spectre.228 115000000.5 77 14 4 3 4 10
temp_spectre.229 115500000.5 50 14 1 3 5 10
temp_spectre.230 116000000.5 28 10 2 0 1 1
temp_spectre.231 116500000.5 55 9 3 6 3 4
temp_spectre.232 117000000.5 80 3 2 13 10 9
temp_spectre.233 117500000.5 82 4 2 9 10 7
temp_spectre.234 118000000.5 85 13 3 11 7 4
temp_spectre.235 118500000.5 84 12 3 15 4 3
temp_spectre.236 119000000.5 81 6 5 10 9 1
temp_spectre.237 119500000.5 83 9 8 7 12 3
temp_spectre.238 120000000.5 56 7 5 4 7 3
temp_spectre.239 120500000.5 64 7 9 3 9 4
temp_spectre.240 121000000.5 81 7 20 3 13 4
temp_spectre.241 121500000.5 98 2 17 9 13 15
temp_spectre.242 122000000.5 94 3 8 9 5 32
temp_spectre.243 122500000.5 51 3 5 2 0 20
temp_spectre.244 123000000.5 141 14 23 30 15 20
temp_spectre.245 123500000.5 163 19 22 39 18 19
temp_spectre.246 124000000.5 56 8 3 10 4 2
temp_spectre.247 124500000.5 32 9 1 0 3 1
temp_spectre.248 125000000.5 25 8 0 0 2 2
temp_spectre.249 125500000.5 44 12 0 2 2 2
temp_spectre.250 126000000.5 80 16 2 14 4 0
temp_spectre.251 126500000.5 83 7 6 16 3 0
temp_spectre.252 127000000.5 62 5 6 7 3 0
temp_spectre.253 127500000.5 69 11 4 6 3 1
temp_spectre.254 128000000.5 83 12 12 4 2 2
temp_spectre.255 128500000.5 70 16 19 2 6 2
temp_spectre.256 129000000.5 60 16 13 5 7 1
temp_spectre.257 129500000.5 55 9 6 6 7 3
temp_spectre.258 130000000.5 71 7 6 2 7 3
temp_spectre.259 130500000.5 86 11 12 1 11 0
temp_spectre.260 131000000.5 103 18 14 1 14 3
temp_spectre.261 131500000.5 104 16 15 1 9 3
temp_spectre.262 132000000.5 94 13 10 5 9 4
temp_spectre.263 132500000.5 91 10 3 10 8 4
temp_spectre.264 133000000.5 77 8 5 12 8 0
temp_spectre.265 133500000.5 77 15 10 8 8 3
temp_spectre.266 134000000.5 83 16 14 3 7 4
temp_spectre.267 134500000.5 92 15 14 3 9 2
temp_spectre.268 135000000.5 92 13 10 3 9 2
temp_spectre.269 135500000.5 88 5 11 8 9 3
temp_spectre.270 136000000.5 96 8 9 16 8 3
temp_spectre.271 136500000.5 88 20 3 10 9 3
temp_spectre.272 137000000.5 90 21 17 3 9 3
temp_spectre.273 137500000.5 83 10 20 9 6 1
temp_spectre.274 138000000.5 62 9 5 7 11 0
temp_spectre.275 138500000.5 69 11 11 3 9 1
temp_spectre.276 139000000.5 81 12 18 6 7 1
temp_spectre.277 139500000.5 80 11 17 9 6 0
temp_spectre.278 140000000.5 93 17 25 12 4 0
temp_spectre.279 140500000.5 102 23 16 10 7 5
temp_spectre.280 141000000.5 67 16 4 5 5 7
temp_spectre.281 141500000.5 49 15 7 8 3 4
temp_spectre.282 142000000.5 78 14 8 9 11 3
temp_spectre.283 142500000.5 88 6 9 9 15 1
temp_spectre.284 143000000.5 72 8 12 10 9 3
